time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.440514,0.0780,-0.0430,-0.0850,0.123
1.443625,0.0310,-0.0580,-0.0680,0.095
1.445492,0.0640,-0.0430,-0.0680,0.103
1.449976,0.1050,-0.0840,-0.0440,0.141
1.452187,0.1050,-0.0240,-0.0580,0.122
1.453042,0.0840,-0.0480,-0.0530,0.110
1.455579,0.0890,-0.0460,-0.0670,0.121
1.458859,0.1180,-0.0220,-0.0500,0.130
1.461173,0.0960,-0.0550,-0.0530,0.123
1.463120,0.0750,-0.0700,-0.0670,0.123
1.465486,0.0680,-0.0650,-0.0430,0.103
1.468545,0.0390,-0.0680,-0.0170,0.080
1.474758,0.0920,-0.0410,-0.0600,0.117
1.475489,0.0660,-0.0770,-0.0480,0.112
1.476152,0.0230,-0.0770,-0.0160,0.082
1.478975,0.0420,-0.0460,-0.0090,0.063
1.480770,0.0550,-0.0680,-0.0190,0.089
1.483323,0.0450,-0.0600,-0.0710,0.103
1.485961,0.0310,-0.0580,-0.0520,0.084
1.488837,0.0410,-0.0370,-0.0090,0.056
1.490677,0.0360,-0.0410,0.0190,0.058
1.493881,0.0700,-0.0580,0.0140,0.092
1.495750,0.0630,-0.0410,0.0550,0.093
1.498839,0.0560,-0.0150,0.0620,0.085
1.500707,0.0920,-0.0250,0.0360,0.102
1.503197,0.1110,-0.0530,0.0690,0.141
1.505861,0.0940,-0.0130,0.0770,0.122
1.508757,0.1150,-0.0510,0.0630,0.141
1.510748,0.1270,-0.0390,0.0700,0.150
1.513214,0.1440,-0.0180,0.0420,0.151
1.515846,0.1510,-0.0490,0.0440,0.165
1.519119,0.1410,-0.0220,0.0280,0.145
1.520748,0.1250,-0.0220,-0.0110,0.127
1.523238,0.1180,-0.0370,0.0380,0.129
1.525931,0.1100,-0.0080,0.0060,0.110
1.529059,0.1080,-0.0420,0.0130,0.117
1.531312,0.0910,-0.0040,0.0040,0.091
1.533379,0.0870,-0.0320,-0.0160,0.094
1.535882,0.0990,-0.0060,-0.0320,0.104
1.538994,0.0630,-0.0250,-0.0980,0.119
1.540872,0.0440,-0.0210,-0.0750,0.089
1.543357,0.0300,-0.0110,-0.1180,0.122
1.545920,0.0490,-0.0260,-0.1310,0.142
1.549186,0.0490,-0.0120,-0.1040,0.116
1.551005,0.0680,-0.0090,-0.0940,0.116
1.553449,0.0780,-0.0360,-0.0760,0.115
1.555945,0.0870,0.0060,-0.0540,0.103
1.559027,0.0850,-0.0290,-0.0270,0.094
1.561154,0.1330,0.0140,-0.0290,0.137
1.563671,0.1370,0.0000,-0.0290,0.140
1.566074,0.1370,0.0040,-0.0430,0.144
1.569348,0.1680,-0.0020,-0.0260,0.170
1.574489,0.1630,-0.0120,-0.0350,0.167
1.575353,0.1470,0.0010,-0.0080,0.147
1.576421,0.1490,0.0130,-0.0100,0.150
1.580253,0.1320,-0.0150,0.0010,0.133
1.581107,0.1750,-0.0170,-0.0120,0.176
1.583864,0.1470,0.0040,0.0040,0.147
1.586253,0.1330,-0.0120,0.0000,0.134
1.589339,0.1450,-0.0220,-0.0280,0.149
1.591119,0.1140,-0.0270,-0.0110,0.118
1.593934,0.0780,-0.0480,0.0050,0.092
1.597238,0.0740,-0.0170,-0.0200,0.079
1.599415,0.0530,-0.0170,-0.0080,0.056
1.601301,0.0670,-0.0080,-0.0340,0.076
1.603828,0.0610,-0.0290,-0.0650,0.094
1.606458,0.0440,-0.0440,-0.0410,0.075
1.609314,0.0040,-0.0410,-0.0640,0.076
1.611148,0.0590,-0.0370,-0.0910,0.115
1.613922,0.0430,-0.0510,-0.0500,0.083
1.616567,0.0760,-0.0340,-0.0450,0.095
1.619534,0.1030,-0.0130,-0.0450,0.113
1.621266,0.1120,-0.0250,-0.0230,0.117
1.623830,0.1380,-0.0320,0.0000,0.142
1.627387,0.1490,-0.0130,-0.0070,0.150
1.629775,0.1300,-0.0270,-0.0190,0.134
1.631359,0.1460,-0.0370,-0.0210,0.152
1.633940,0.1360,-0.0510,-0.0210,0.147
1.636555,0.1070,-0.0130,-0.0040,0.108
1.639731,0.1140,-0.0560,-0.0020,0.127
1.641409,0.0770,-0.0560,0.0020,0.095
1.643834,0.0790,-0.0290,-0.0280,0.089
1.646620,0.0930,-0.0120,-0.0350,0.100
1.650869,0.0860,-0.0440,0.0400,0.105
1.652268,0.0730,-0.0560,0.0280,0.096
1.654070,0.0800,-0.0410,0.0240,0.093
1.656624,0.0300,-0.0340,0.0100,0.046
1.660841,0.0320,-0.0580,-0.0440,0.080
1.661974,0.0530,-0.0240,-0.0080,0.059
1.664424,0.0470,-0.0650,-0.0290,0.085
1.666715,0.0520,-0.0460,-0.0390,0.080
1.669736,0.0420,-0.0680,-0.0760,0.110
1.673546,0.0630,-0.0410,-0.0520,0.091
1.674484,0.0860,-0.0410,-0.0730,0.120
1.677020,0.0710,-0.0340,-0.0510,0.094
1.679802,0.0780,-0.0410,-0.0340,0.094
1.681659,0.1250,-0.0560,-0.0390,0.142
1.684296,0.1290,-0.0680,-0.0170,0.147
1.686709,0.1120,-0.0700,-0.0270,0.135
1.689391,0.1260,-0.0560,0.0230,0.140
1.691756,0.1280,-0.0170,-0.0030,0.129
1.694572,0.1100,-0.0600,0.0350,0.130
1.696847,0.1150,-0.0460,0.0180,0.125
1.699782,0.1210,-0.0430,0.0440,0.136
1.701687,0.1140,-0.0550,0.0560,0.138
1.705097,0.0920,-0.0530,0.0250,0.109
1.706996,0.1060,-0.0410,0.0090,0.114
1.709641,0.1270,-0.0460,0.0400,0.141
1.711797,0.1330,-0.0460,0.0050,0.141
1.714501,0.1210,-0.0360,0.0530,0.137
1.717002,0.1230,-0.0480,0.0240,0.134
1.719648,0.0940,-0.0340,0.0170,0.101
1.721902,0.0930,-0.0530,0.0130,0.108
1.724501,0.0760,-0.0390,0.0000,0.085
1.727679,0.0930,-0.0050,0.0230,0.096
1.730325,0.0780,-0.0410,-0.0230,0.091
1.731892,0.0710,-0.0200,-0.0230,0.077
1.734561,0.0660,-0.0440,-0.0110,0.080
1.736967,0.0580,-0.0270,-0.0340,0.072
1.739757,0.0420,-0.0050,-0.0240,0.049
1.742147,0.0290,-0.0580,-0.0340,0.073
1.744256,0.0170,-0.0390,-0.0240,0.049
1.747333,0.0340,-0.0510,-0.0170,0.064
1.750014,0.0150,-0.0480,0.0490,0.070
1.751846,0.0310,-0.0750,0.0230,0.084
1.754333,0.0280,-0.0390,0.0400,0.062
1.757972,0.0520,-0.0560,0.0520,0.092
1.760083,0.0610,-0.0530,0.0710,0.108
1.761935,0.0560,-0.0340,0.0850,0.107
1.764312,0.0490,-0.0360,0.1070,0.123
1.766858,0.0530,-0.0460,0.0970,0.120
1.769322,0.0340,-0.0240,0.0730,0.084
1.773389,0.0620,-0.0410,0.1090,0.132
1.774627,0.0730,0.0000,0.0780,0.107
1.778255,0.0870,-0.0030,0.0760,0.116
1.779553,0.0750,-0.0630,0.0790,0.126
1.782699,0.1130,-0.0100,0.1430,0.183
1.784593,0.1100,-0.0050,0.0670,0.129
1.786997,0.1380,0.0000,0.0790,0.159
1.789690,0.1540,0.0110,0.0270,0.157
1.792333,0.1800,0.0110,0.0320,0.183
1.794740,0.1600,0.0060,-0.0140,0.161
1.797102,0.1570,0.0000,-0.0280,0.159
1.799615,0.1570,-0.0010,-0.0440,0.163
1.802434,0.1540,-0.0220,-0.0570,0.166
1.804925,0.1680,0.0150,-0.0880,0.190
1.807113,0.1360,-0.0080,-0.0510,0.145
1.809601,0.1210,0.0050,-0.0840,0.147
1.812045,0.1310,0.0250,-0.0740,0.153
1.814708,0.1260,0.0170,-0.0780,0.149
1.817229,0.1400,-0.0250,-0.0460,0.149
1.819662,0.1390,-0.0180,-0.0450,0.147
1.822148,0.0980,0.0080,-0.0500,0.110
1.824854,0.1320,0.0030,-0.0680,0.149
1.827181,0.0840,-0.0270,-0.0560,0.105
1.829827,0.0570,-0.0160,-0.0480,0.076
1.832231,0.0430,-0.0400,-0.0430,0.073
1.834811,0.0160,-0.0110,-0.0310,0.037
1.838383,0.0110,-0.0560,-0.0370,0.068
1.839683,0.0210,-0.0350,-0.0540,0.068
1.842108,0.0180,-0.0560,-0.0480,0.076
1.844701,0.0390,-0.0400,-0.0310,0.064
1.847535,0.0420,-0.0560,0.0040,0.070
1.849870,0.0720,-0.0490,-0.0310,0.092
1.852265,0.0450,-0.0180,-0.0160,0.051
1.855108,0.0830,-0.0590,-0.0370,0.108
1.857235,0.1160,-0.0570,-0.0540,0.140
1.862354,0.1200,-0.0210,-0.0650,0.138
1.862936,0.1240,-0.0420,-0.0650,0.146
1.864918,0.1050,-0.0420,-0.0640,0.130
1.867388,0.1190,-0.0400,-0.0690,0.143
1.870104,0.1370,-0.0490,-0.0730,0.163
1.872882,0.1340,-0.0370,-0.0710,0.156
1.874952,0.1410,0.0000,-0.0660,0.156
1.877535,0.1480,-0.0280,-0.1040,0.183
1.880079,0.1810,-0.0350,-0.1040,0.212
1.883176,0.1850,-0.0350,-0.0800,0.205
1.884892,0.1700,-0.0250,-0.1090,0.203
1.887494,0.1750,-0.0300,-0.0850,0.197
1.890603,0.1190,-0.0250,-0.0400,0.128
1.894554,0.1070,-0.0470,-0.0780,0.141
1.895295,0.1240,-0.0230,-0.0620,0.141
1.897783,0.0990,-0.0590,-0.0360,0.121
1.900064,0.0660,-0.0940,-0.0120,0.115
1.902636,0.0800,-0.0730,-0.0490,0.119
1.905145,0.0850,-0.0750,-0.0280,0.117
1.907663,0.0750,-0.0750,-0.0540,0.119
1.910227,0.0630,-0.0730,-0.0740,0.122
1.912682,0.0600,-0.0650,-0.0620,0.108
1.916606,0.1080,-0.0290,-0.0150,0.113
1.918645,0.0620,-0.0870,-0.0520,0.119
1.920149,0.0670,-0.0800,-0.0380,0.111
1.922701,0.0500,-0.0790,-0.0560,0.109
1.925055,0.0640,-0.0890,-0.0470,0.119
1.928308,0.0470,-0.0770,-0.0230,0.093
1.930135,0.0630,-0.0670,-0.0410,0.101
1.932718,0.0540,-0.0720,-0.0660,0.112
1.935615,0.0560,-0.0740,-0.0520,0.106
1.938438,0.0510,-0.1080,-0.0550,0.131
1.940182,0.0460,-0.0520,-0.0420,0.081
1.942629,0.0550,-0.0740,-0.0380,0.100
1.945261,0.0480,-0.0470,-0.0480,0.083
1.949689,0.0550,-0.0450,-0.0280,0.076
1.950396,0.0640,-0.0690,-0.0140,0.095
1.952711,0.0400,-0.0280,0.0390,0.062
1.955192,0.0610,-0.0230,0.0350,0.074
1.958899,0.0420,-0.0300,0.0720,0.089
1.960942,0.0440,-0.0440,0.0640,0.089
1.962857,0.0420,-0.0250,0.1010,0.112
1.965238,0.0460,-0.0130,0.1430,0.151
1.968340,0.0820,-0.0480,0.1540,0.181
1.974046,0.0460,-0.0630,0.1320,0.153
1.974688,0.0290,-0.0170,0.1710,0.174
1.975329,0.0100,-0.0290,0.1660,0.169
1.978452,0.0070,-0.0240,0.1240,0.126
1.980530,0.0310,0.0010,0.1420,0.145
1.983331,0.0570,-0.0260,0.0920,0.111
1.985426,0.0710,-0.0380,0.1010,0.129
1.988499,0.0730,0.0090,0.0500,0.089
1.990378,0.0680,-0.0160,0.0260,0.075
1.993497,0.1010,-0.0090,0.0180,0.103
1.995417,0.0910,-0.0160,-0.0220,0.095
1.998444,0.1080,0.0230,-0.0310,0.115
2.000548,0.1170,-0.0040,-0.0050,0.117
2.003428,0.1240,0.0020,-0.0200,0.126
2.005929,0.1070,-0.0230,0.0170,0.111
2.008509,0.1010,-0.0070,0.0050,0.101
2.010671,0.1080,-0.0090,0.0340,0.114
2.013097,0.1010,-0.0140,0.0020,0.102
2.016503,0.0670,-0.0090,0.0280,0.073
2.018617,0.0670,-0.0210,0.0330,0.078
2.020548,0.0570,-0.0520,0.0400,0.087
2.023482,0.0230,0.0260,0.0440,0.056
2.025710,0.0470,-0.0130,0.0420,0.064
2.028854,0.0420,0.0120,0.0390,0.059
2.030843,0.0660,0.0170,0.0500,0.085
2.033714,0.1010,-0.0200,0.1000,0.144
2.035890,0.0890,0.0150,0.0750,0.117
2.038858,0.1180,0.0220,0.0750,0.142
2.040721,0.0930,-0.0030,0.0810,0.123
2.043533,0.0880,-0.0060,0.0810,0.120
2.045742,0.1430,0.0050,0.0540,0.153
2.051205,0.1310,0.0200,0.0730,0.151
2.052013,0.1090,-0.0030,0.0550,0.122
2.053178,0.1280,-0.0080,0.0670,0.145
2.055988,0.1180,-0.0050,0.0140,0.119
2.059038,0.1300,0.0010,0.0230,0.132
2.060757,0.1100,0.0350,0.0210,0.117
2.063415,0.1030,0.0010,0.0130,0.104
2.065957,0.0930,-0.0050,0.0300,0.098
2.069065,0.1170,0.0270,0.0460,0.129
2.073820,0.0930,0.0060,0.0650,0.114
2.074506,0.0800,-0.0190,0.0410,0.092
2.076239,0.0850,-0.0270,0.0670,0.112
2.079057,0.0590,-0.0240,0.0330,0.072
2.081093,0.0900,-0.0290,0.0330,0.100
2.084555,0.1250,-0.0220,0.0090,0.127
2.085814,0.1300,-0.0120,0.0190,0.132
2.089125,0.1270,-0.0170,-0.0160,0.129
2.091067,0.1100,-0.0100,-0.0160,0.112
2.093713,0.1360,-0.0020,-0.0470,0.144
2.096166,0.1070,-0.0120,-0.0280,0.111
2.099059,0.1210,-0.0170,-0.0660,0.139
2.101041,0.1160,-0.0360,-0.0780,0.144
2.103671,0.1380,-0.0140,-0.0900,0.165
2.106189,0.1330,-0.0170,-0.0690,0.151
2.109946,0.1230,-0.0100,-0.0900,0.153
2.111225,0.1280,-0.0050,-0.1000,0.163
2.113498,0.1020,-0.0100,-0.0720,0.125
2.116161,0.1190,0.0110,-0.0550,0.132
2.119220,0.1210,-0.0290,-0.0410,0.131
2.120790,0.1190,-0.0210,-0.0520,0.132
2.123716,0.1360,-0.0330,-0.0420,0.146
2.127018,0.1260,-0.0450,-0.0210,0.135
2.129294,0.1310,-0.0090,-0.0240,0.133
2.131221,0.1410,-0.0280,0.0080,0.144
2.133479,0.1370,-0.0590,0.0170,0.150
2.135996,0.1540,-0.0380,0.0520,0.167
2.139478,0.1440,-0.0400,0.0420,0.155
2.141244,0.1420,-0.0260,0.0740,0.162
2.143596,0.1330,-0.0330,0.1050,0.173
2.146321,0.1030,-0.0160,0.0900,0.138
2.149723,0.1390,-0.0300,0.0990,0.173
2.151417,0.1470,-0.0300,0.0880,0.174
2.153873,0.1330,-0.0230,0.0780,0.156
2.156239,0.1090,-0.0040,0.0560,0.123
2.160393,0.1080,0.0310,0.0300,0.116
2.161419,0.1200,0.0170,0.0340,0.126
2.164167,0.1540,0.0020,0.0290,0.157
2.166430,0.1600,0.0070,0.0530,0.169
2.169177,0.1770,0.0140,0.0450,0.183
2.173956,0.2280,0.0410,0.1520,0.277
2.174889,0.2260,0.0310,0.1280,0.262
2.176380,0.2320,0.0530,0.1610,0.287
2.179392,0.2560,0.0310,0.1820,0.316
2.182427,0.3000,0.0450,0.2180,0.374
2.183880,0.3180,0.0570,0.2240,0.393
2.186365,0.3430,0.0530,0.2360,0.420
2.189924,0.3530,0.0570,0.2500,0.436
2.191387,0.3970,0.0670,0.2980,0.501
2.194154,0.3990,0.0790,0.2980,0.504
2.196491,0.3950,0.0640,0.3170,0.510
2.200061,0.3960,0.0550,0.3220,0.513
2.201190,0.3880,0.0620,0.3480,0.525
2.204851,0.4110,0.0930,0.3560,0.552
2.206621,0.4110,0.1140,0.4140,0.594
2.209541,0.4370,0.0900,0.3790,0.585
2.212056,0.4310,0.1260,0.3850,0.591
2.214398,0.4450,0.1350,0.3410,0.577
2.216893,0.4430,0.1180,0.3160,0.557
2.219818,0.4160,0.1650,0.2820,0.529
2.221493,0.4090,0.1940,0.2600,0.522
2.224247,0.4000,0.1570,0.2430,0.494
2.226985,0.4030,0.1380,0.2360,0.487
2.229765,0.4150,0.1610,0.2030,0.489
2.231484,0.4330,0.1940,0.1360,0.494
2.234152,0.4640,0.1820,0.1610,0.524
2.238108,0.4750,0.2000,0.1400,0.534
2.239699,0.4780,0.2430,0.1090,0.547
2.241486,-0.2350,0.7160,0.0510,0.755
2.244154,-0.1800,0.5550,-0.1150,0.595
2.246971,0.2210,0.2960,-0.1650,0.405
2.249530,0.5890,0.1650,-0.0430,0.613
2.251811,0.9750,0.1360,0.0980,0.989
2.253974,1.3260,0.2370,0.1780,1.359
2.257302,1.5680,0.3520,0.1110,1.611
2.262801,1.8230,0.4450,0.0340,1.877
2.265013,1.9030,0.5940,0.0760,1.995
2.265744,1.8970,0.6470,0.0440,2.005
2.266780,1.9150,0.4820,0.0060,1.975
2.269486,1.8210,0.3340,-0.0230,1.852
2.271691,1.7470,0.3270,-0.0900,1.780
2.274167,1.6180,0.2030,-0.1490,1.637
2.276600,1.5610,0.0670,-0.2210,1.578
2.279824,1.4900,-0.0390,-0.2810,1.517
2.282491,1.3100,0.2640,-0.2650,1.362
2.284477,1.0680,0.6770,-0.2460,1.288
2.286837,1.0480,0.6550,-0.2180,1.255
2.289469,1.1090,0.5100,-0.2240,1.241
2.291816,1.1540,0.3930,-0.2470,1.244
2.294580,1.1790,0.2520,-0.2290,1.227
2.296905,1.1480,0.3630,-0.2380,1.227
2.299361,1.1590,0.4520,-0.2050,1.261
2.301795,1.0950,0.5870,-0.1590,1.253
2.304910,1.0720,0.6640,-0.1450,1.269
2.307002,1.0990,0.6990,-0.0860,1.305
2.309327,1.0730,0.7090,-0.0790,1.289
2.311825,1.0920,0.7030,0.0080,1.299
2.315907,1.1160,0.6700,0.0830,1.304
2.317105,1.1330,0.6350,0.1230,1.305
2.319490,1.1430,0.6360,0.2240,1.327
2.322013,1.1670,0.5650,0.1560,1.306
2.324331,1.2220,0.5560,0.1430,1.350
2.327199,1.3010,0.5480,0.2040,1.426
2.329931,1.3680,0.5750,0.2860,1.511
2.331809,1.4110,0.5710,0.3570,1.563
2.334823,1.4470,0.5860,0.3630,1.603
2.337756,1.5200,0.5830,0.3590,1.667
2.339546,1.5060,0.5950,0.3800,1.663
2.342003,1.5250,0.6040,0.4000,1.688
2.346116,1.5430,0.5970,0.4090,1.704
2.347186,1.5460,0.6270,0.3820,1.711
2.352171,1.5540,0.6040,0.3810,1.710
2.352861,1.5550,0.5760,0.3660,1.698
2.358260,1.5680,0.5120,0.3230,1.681
2.358733,1.5690,0.4500,0.2670,1.654
2.360351,1.6660,0.4270,0.2930,1.745
2.361992,1.6900,0.4060,0.2830,1.761
2.365044,1.7530,0.4340,0.3230,1.835
2.367078,1.7750,0.3990,0.3320,1.849
2.369465,1.7880,0.4110,0.3440,1.867
2.372772,1.7750,0.3910,0.3240,1.846
2.374509,1.6850,0.3630,0.3020,1.750
2.377047,1.5440,0.3420,0.2160,1.596
2.379537,1.2190,0.1770,0.1710,1.244
2.382053,0.9320,0.0320,0.0780,0.936
2.384558,0.9550,-0.1700,-0.0780,0.973
2.387051,1.0200,-0.2910,-0.1040,1.066
2.389525,1.0860,-0.4020,-0.0270,1.158
2.392931,1.2140,-0.4200,0.0170,1.285
2.394695,1.4040,-0.3710,0.1030,1.456
2.398104,1.5800,-0.2840,0.1710,1.614
2.400473,1.7240,-0.1700,0.2040,1.744
2.402019,1.8190,-0.0440,0.1820,1.829
2.404813,1.8700,0.0900,0.1360,1.877
2.407507,1.9260,0.1770,0.0840,1.936
2.409961,1.9210,0.2380,-0.0150,1.936
2.412872,1.8980,0.2820,-0.0690,1.920
2.416128,1.8310,0.1470,-0.1160,1.841
2.417751,1.7990,0.0140,-0.2250,1.813
2.419950,1.8340,0.0580,-0.2120,1.847
2.422243,1.7900,0.0300,-0.1920,1.801
2.424916,1.7490,-0.0350,-0.1920,1.760
2.427604,1.5720,-0.0960,-0.2200,1.590
2.430417,1.4130,-0.0760,-0.0400,1.416
2.432391,1.3330,-0.0320,0.2000,1.348
2.435314,1.2620,0.0060,0.4240,1.331
2.438042,1.1610,0.0460,0.5840,1.300
2.440424,1.1320,0.0540,0.7100,1.337
2.442550,1.2010,0.0530,0.7670,1.426
2.445633,1.1780,0.0610,0.7580,1.402
2.447435,1.2390,0.0300,0.7480,1.448
2.450185,1.3310,0.0190,0.6780,1.494
2.452651,1.3930,-0.0100,0.5420,1.495
2.454986,1.4650,-0.0290,0.3480,1.506
2.457786,1.5140,-0.0620,0.2280,1.532
2.460126,1.6570,-0.0350,0.1480,1.664
2.462800,1.7610,-0.0450,0.0170,1.762
2.465084,1.7990,-0.0080,-0.0900,1.801
2.467827,1.7840,-0.0150,-0.1100,1.787
2.471163,1.7500,0.0240,-0.0990,1.753
2.473170,1.7680,0.0560,-0.0440,1.769
2.475079,1.7900,0.0750,0.0000,1.792
2.478661,1.7920,0.1090,-0.0070,1.795
2.480022,1.8650,0.1420,-0.0440,1.871
2.484774,1.9150,0.0890,-0.1300,1.921
2.485615,1.8380,0.0940,-0.2490,1.857
2.488289,1.8550,0.0500,-0.2730,1.876
2.490564,1.8080,0.0360,-0.3780,1.847
2.494899,1.6710,-0.0450,-0.4580,1.733
2.495607,1.5520,-0.0790,-0.5030,1.633
2.498879,1.5500,-0.0730,-0.5640,1.651
2.500312,1.4120,-0.1040,-0.7020,1.580
2.502606,1.3380,-0.0640,-0.7630,1.542
2.505234,1.3470,-0.0820,-0.8080,1.573
2.508207,1.2920,-0.0870,-0.8980,1.576
2.510198,1.2100,-0.1450,-0.9550,1.548
2.512920,1.1960,-0.1960,-0.9620,1.547
2.516211,1.2040,-0.1850,-0.9410,1.539
2.518411,1.2700,-0.1710,-0.9560,1.599
2.520171,1.3040,-0.2260,-0.9290,1.617
2.523046,1.2810,-0.2700,-0.9150,1.597
2.526364,1.2420,-0.3440,-0.8990,1.571
2.528359,1.1800,-0.4070,-0.8810,1.528
2.530297,1.0720,-0.4590,-0.8910,1.468
2.532821,0.9990,-0.4980,-0.9200,1.447
2.535638,1.0050,-0.4710,-0.8550,1.401
2.538441,1.1050,-0.4260,-0.8310,1.447
2.540293,1.2080,-0.3300,-0.7840,1.477
2.542811,1.2360,-0.2960,-0.7950,1.499
2.545119,1.2360,-0.2570,-0.8070,1.498
2.548868,1.3010,-0.2300,-0.7810,1.535
2.550930,1.3000,-0.2250,-0.7290,1.507
2.553655,1.3140,-0.2190,-0.5580,1.444
2.555289,1.2830,-0.2900,-0.4320,1.384
2.560351,1.2240,-0.3110,-0.3320,1.306
2.562258,1.1700,-0.4010,-0.2310,1.258
2.562843,1.0600,-0.4630,-0.1590,1.168
2.565342,0.8960,-0.5170,-0.1370,1.043
2.568773,0.7620,-0.6090,-0.0960,0.980
2.571233,0.6420,-0.6490,-0.0270,0.913
2.573368,0.4810,-0.6960,-0.0180,0.846
2.575685,0.4110,-0.6710,0.0730,0.790
2.578719,0.2770,-0.6960,0.1030,0.756
2.580429,0.1960,-0.6760,0.1100,0.712
2.584955,0.1220,-0.6850,0.1780,0.718
2.586053,0.0370,-0.7430,0.2320,0.779
2.588900,-0.0400,-0.7800,0.2710,0.827
2.590720,-0.1280,-0.8460,0.3040,0.908
2.593447,-0.1920,-0.8760,0.3310,0.956
2.595945,-0.2060,-0.9750,0.3320,1.050
2.598759,-0.2580,-1.0410,0.3480,1.128
2.600526,-0.2820,-1.1060,0.3300,1.188
2.604708,-0.2590,-1.1380,0.3380,1.215
2.606053,-0.3010,-1.1530,0.2490,1.217
2.608925,-0.3370,-1.1830,0.2390,1.253
2.610551,-0.3830,-1.1720,0.2030,1.250
2.613128,-0.4600,-1.1370,0.1860,1.241
2.615700,-0.5330,-1.1090,0.1200,1.236
2.618743,-0.6300,-1.0590,0.1020,1.236
2.620881,-0.6900,-1.0000,0.0630,1.217
2.623147,-0.7380,-0.9610,0.0600,1.213
2.626860,-0.7500,-0.8850,0.0910,1.164
2.629134,-0.7540,-0.7780,0.1580,1.095
2.630572,-0.7530,-0.6980,0.1520,1.038
2.633107,-0.7050,-0.6700,0.1960,0.992
2.635848,-0.7090,-0.6190,0.1900,0.960
2.638971,-0.6140,-0.5600,0.1580,0.846
2.640744,-0.5590,-0.5370,0.1560,0.791
2.643377,-0.4810,-0.4670,0.1040,0.678
2.646035,-0.4320,-0.4010,0.0790,0.595
2.649055,-0.4160,-0.3690,0.0130,0.556
2.650907,-0.3980,-0.3270,-0.0320,0.516
2.653231,-0.3710,-0.3080,-0.1130,0.495
2.656548,-0.3300,-0.2710,-0.1750,0.461
2.659816,-0.3190,-0.2130,-0.2370,0.451
2.660928,-0.2920,-0.1520,-0.2540,0.416
2.663429,-0.2550,-0.1220,-0.2590,0.383
2.665837,-0.2210,-0.1580,-0.3040,0.408
2.669090,-0.2150,-0.1020,-0.2830,0.370
2.671232,-0.1980,-0.0810,-0.2320,0.316
2.673724,-0.1700,-0.0830,-0.2230,0.292
2.675897,-0.2050,-0.0650,-0.1980,0.292
2.679381,-0.1700,-0.0660,-0.1840,0.259
2.684480,-0.1800,-0.0290,-0.1070,0.211
2.685269,-0.1440,-0.0270,0.0250,0.149
2.686175,-0.1460,0.0260,0.0960,0.177
2.689101,-0.1290,0.0520,0.2120,0.254
2.690947,-0.1450,0.0650,0.2780,0.320
2.694618,-0.2490,0.1390,0.2790,0.399
2.696146,-0.3450,0.1600,0.3770,0.535
2.699125,-0.4560,0.2190,0.4550,0.680
2.701352,-0.5630,0.2400,0.5150,0.800
2.704281,-0.6680,0.3160,0.5590,0.927
2.706123,-0.7600,0.3640,0.6720,1.078
2.709238,-0.8480,0.3940,0.7330,1.188
2.711342,-0.8790,0.4100,0.8390,1.282
2.713549,-0.9270,0.4410,0.8890,1.358
2.717078,-0.9780,0.3870,0.8980,1.383
2.719470,-1.0300,0.3580,0.9290,1.433
2.721183,-1.0410,0.3110,0.8400,1.373
2.723684,-1.0910,0.2500,0.7990,1.375
2.726180,-1.1640,0.1500,0.7580,1.397
2.729190,-1.1540,0.0800,0.7230,1.364
2.731209,-1.1800,-0.0190,0.6680,1.356
2.733856,-1.1690,-0.1390,0.6510,1.345
2.737408,-1.2470,-0.2320,0.5560,1.385
2.739536,-1.2190,-0.3320,0.4810,1.352
2.741386,-1.2100,-0.3610,0.4590,1.344
2.744530,-1.2100,-0.4280,0.3210,1.323
2.746222,-1.1650,-0.4810,0.2810,1.291
2.749309,-1.1380,-0.4910,0.2180,1.258
2.751342,-1.0930,-0.4810,0.1720,1.206
2.753909,-1.0630,-0.4580,0.1140,1.163
2.756399,-1.0500,-0.4200,0.0700,1.133
2.759774,-0.9980,-0.3770,0.0550,1.068
2.761645,-0.9740,-0.3440,0.0000,1.033
2.764061,-0.9730,-0.3130,-0.0050,1.022
2.766477,-0.9720,-0.2730,-0.0630,1.012
2.769806,-0.9600,-0.2160,-0.0490,0.985
2.771739,-0.9680,-0.2020,-0.1010,0.994
2.774202,-0.9610,-0.2330,-0.1090,0.995
2.776270,-0.8830,-0.1760,-0.0850,0.904
2.779794,-0.8800,-0.1350,-0.1250,0.899
2.784473,-0.7970,-0.0880,-0.1490,0.816
2.786085,-0.7600,0.0050,-0.1400,0.773
2.786828,-0.6480,0.0310,-0.2120,0.683
2.789546,-0.5980,0.0910,-0.2880,0.670
2.794376,-0.5400,0.1440,-0.3540,0.662
2.795200,-0.4930,0.2170,-0.3870,0.663
2.796597,-0.4740,0.2530,-0.4420,0.696
2.799498,-0.4870,0.2780,-0.4780,0.737
2.801971,-0.5780,0.3380,-0.4840,0.826
2.804454,-0.6560,0.3630,-0.5090,0.906
2.806585,-0.6710,0.3330,-0.4790,0.889
2.809462,-0.7800,0.3430,-0.4530,0.965
2.811556,-0.8710,0.2820,-0.3850,0.993
2.816028,-0.9460,0.2430,-0.3020,1.022
2.817199,-1.0240,0.2030,-0.2330,1.070
2.819796,-1.0670,0.1280,-0.1160,1.081
